Name,Pos,sex,religion
Yeasmin,3,2,1
Mrittika,1,2,2
Sejuti,1,2,1
Ayana,1,2,1
Morshed,1,1,1
Ruhul,1,1,1
Shipar,1,1,1
Ali,3,1,1
Misbah,1,1,1
Ajij,2,1,1
Shihab,1,1,1
Abdullah,1,1,1
Raihan,1,1,1
Murad,1,1,1
Salek,1,1,1
Antor,1,1,1
Hossain,2,3,1
Rumi,1,1,1
Nabil,1,1,1
Kaiser,1,1,1
Emon,1,1,1
Ayman,1,1,1
Sadik,3,1,1
Roman,1,1,1
Helal,1,1,1
Himu,1,1,1
Rimu,1,1,1
Babu,1,1,1
Enam,1,1,1
Jahir,1,1,1
Apon,1,1,1
Najib,1,1,1
Wangdu,3,2,4
Bari,1,3,1
Fahad,1,1,1
Faiaz,1,1,1
Farid,1,1,1
Faruk,1,1,1
Fazal,1,1,1
Falguni,1,2,2
Farhan,1,1,1
Ahad,1,1,1
Fatir,1,1,1
Ferdous,1,1,1
Firoz,1,1,1
Fakir,3,1,1
Faiza,1,2,1
Faria,1,2,1
Farhana,1,2,1
Fahima,1,2,1
Fatema,1,2,1
Fouzia,1,2,1
Nobeli,1,2,1
Samsunnahr,1,2,1
Saifunnahar,1,2,1
Hasina,1,2,1
Faezana,1,2,1
Pushpi,1,2,1
Tanu,1,2,1
Tisa,1,2,1
Ara,2,2,1
Tania,1,2,1
Tina,1,2,1
Tuli,1,2,1
Tannima,1,2,1
Mushfika,2,2,1
Mubashshera,2,2,1
Arpita,1,2,1
Orpa,1,2,1
Abedin,3,3,1
Mashrafi,1,1,1
Mortaza,1,1,1
Tipu,1,1,1
Mubashshir,2,1,1
Irash,3,1,1
Ishraq,1,1,1
Micheal,1,1,3
Modhushudhon,2,1,3
Anjumonoara,1,2,1
Anjum,3,3,1
Kantu,1,2,1
Jahangir,1,1,1
Alam,3,1,1
Ashraful,1,1,1
Any,1,2,1
Farnandes,1,1,3
Bushra,1,2,1
Basma,1,2,1
Choiti,1,2,1
Tabassum,1,2,1
Iffat,1,2,1
Jashra,1,2,1
Shondha,1,2,2
Margaret,1,2,3
Costa,3,2,3
Shikha,1,2,3
Rita,3,2,3
Rojario,3,2,3
D'Cruze,3,2,3
Stiphen,1,2,3
Dicosta,3,2,3
Jeniffer,1,2,3
Chakma,3,2,4
Rehnuma,1,2,4
Mariatul,1,2,4
Jannatul,1,2,1
Ashim,1,1,2
Sukumar,1,1,3
Sarah,1,2,1
Anni,1,2,2
Moniratul,1,2,1
Dipannita,1,2,3
Keya,1,2,1
Shuvendu,1,1,4
Shekhar,1,1,4
Cakroborti,3,3,3
Tajmina,1,2,2
Paul,3,2,3
Muntaka,1,2,1
Rvifa,1,2,1
Riva,1,2,1
Layla,1,2,1
Tithi,1,2,1
Turna,1,2,1
Nipu,1,2,1
Khadija,1,2,1
Shuhita,1,2,1
Shagota,1,2,2
Tondra,1,2,1
Ihan,1,1,1
